"Freq [GHz]","dB10(FrontToBackRatio) [] - Phi='0deg' Theta='0deg'"
0.55,15.7938435772466
0.56,16.4182246968423
0.57,17.0779363153218
0.58,17.7773815069282
0.59,18.4965681675008
0.6,19.2933675223392
0.61,20.1449761566844
0.62,21.0509660205137
0.63,22.0156492042893
0.64,23.0397178862028
0.65,24.1214271408094
0.66,25.2453844128605
0.67,26.3691545934128
0.68,27.4192269453941
0.69,28.2809434977139
0.7,28.8181386318375
0.71,28.937589104954
0.72,28.659369838689
0.73,28.125912934584
0.74,27.3968666943128
0.75,26.6249955406476
0.76,25.8726958522414
0.77,25.1710498741009
0.78,24.5328757004485
0.79,23.9614677346201
0.8,23.4555349271495
0.81,23.0117639260761
0.82,22.6260807928595
0.83,22.2942255034613
0.84,22.0119907369758
0.85,21.7753012631953
0.86,21.5802313379405
0.87,21.4230127887366
0.88,21.3000555944829
0.89,21.2079823702301
0.9,21.1435960937327
0.91,21.1377590590461
0.92,21.1251288319981
0.93,21.1325074184624
0.94,21.1580840300365
0.95,21.1996806758533
0.96,21.2551469752089
0.97,21.321958497846
0.98,21.3969446231921
0.99,21.4760227869363
1,21.5543092109815
1.01,21.6250327203789
1.02,21.6807560135249
1.03,21.7135927729147
1.04,21.8670350679439
1.05,21.839308030603
1.06,21.7715838877396
1.07,21.665803226617
1.08,21.5263265940239
1.09,21.5796370379184
1.1,21.4012305795743
1.11,21.484371072924
1.12,21.3109529157418
1.13,21.468687956678
1.14,21.34123501254
1.15,21.2595224487064
1.16,21.5684383339755
1.17,21.5549813369033
1.18,21.6002620117633
1.19,21.6655934445061
1.2,21.7858530241288
1.21,21.9173606423844
1.22,22.0727535021823
1.23,22.2442323771304
1.24,22.4461167979637
1.25,22.3962676363891
