"Freq [GHz]","dB(PeakGain) [] - Phi='0deg' Theta='0deg'"
0.55,10.8734071815249
0.56,10.8277039478463
0.57,10.7891958972478
0.58,10.7577137011553
0.59,10.7326723679948
0.6,10.7139282455168
0.61,10.7015459494871
0.62,10.6960040537821
0.63,10.6963245223104
0.64,10.7026612644266
0.65,10.7151435547652
0.66,10.7346685071608
0.67,10.7612714158557
0.68,10.7942722910431
0.69,10.8336850300014
0.7,10.8794621161975
0.71,10.9314779793652
0.72,10.9895108936029
0.73,11.0535414814793
0.74,11.1229397464021
0.75,11.1965458425428
0.76,11.2734022465649
0.77,11.3522954525021
0.78,11.4317250101856
0.79,11.5098829800986
0.8,11.5846554652509
0.81,11.6536582705854
0.82,11.7143178675599
0.83,11.7640016558977
0.84,11.8001876064661
0.85,11.8206483168929
0.86,11.8236099755961
0.87,11.8078496939544
0.88,11.7727097731291
0.89,11.7180362542591
0.9,11.6441033630832
0.91,11.551364341829
0.92,11.4406691059016
0.93,11.3129497399853
0.94,11.1693762043263
0.95,11.0113545007328
0.96,10.8405475578658
0.97,10.6588744895865
0.98,10.468482426641
0.99,10.2716909816961
1,10.0709141283524
1.01,9.86856492095368
1.02,9.66694755718102
1.03,9.46814280765556
1.04,9.27389090400498
1.05,9.085693571493
1.06,8.90429288905455
1.07,8.72962398814823
1.08,8.56099333206281
1.09,8.39685036748624
1.1,8.23467115329111
1.11,8.07080131564736
1.12,7.90025043853746
1.13,7.71641104058476
1.14,7.51072451484946
1.15,7.27246436955332
1.16,6.99284849638387
1.17,6.69698109392979
1.18,6.75836705638538
1.19,6.83292828172943
1.2,6.91285971474376
1.21,6.98606009284317
1.22,7.06373816370017
1.23,7.12879134479874
1.24,7.68769457033244
1.25,8.1266393082769
