"Freq [GHz]","dB(PeakGain) [] - Phi='0deg' Theta='0deg'"
0.55,10.2209903395746
0.56,10.1926033254614
0.57,10.1716283930499
0.58,10.1578638037522
0.59,10.1512731900654
0.6,10.1525037021903
0.61,10.1600363994493
0.62,10.1736668698338
0.63,10.1933507340833
0.64,10.2190159284996
0.65,10.2513607052502
0.66,10.2896699320437
0.67,10.3335902866853
0.68,10.3829473508236
0.69,10.4375100467982
0.7,10.4969677732956
0.71,10.5609047417323
0.72,10.6287737933684
0.73,10.7003584743514
0.74,10.7743666367546
0.75,10.8495702557562
0.76,10.9246463967203
0.77,10.9980322114467
0.78,11.0679220403832
0.79,11.1322805904682
0.8,11.1888792885204
0.81,11.2353617359119
0.82,11.2693421269966
0.83,11.2885327285119
0.84,11.2908892028032
0.85,11.2747517283077
0.86,11.2389553516209
0.87,11.1828854938658
0.88,11.106465750551
0.89,11.0100823828207
0.9,10.8944794123827
0.91,10.7608013714412
0.92,10.610349692987
0.93,10.4438268838322
0.94,10.2623707603941
0.95,10.0671810018064
0.96,9.85958797731076
0.97,9.64113691632803
0.98,9.41367398452231
0.99,9.17941785860132
1,8.94100395117125
1.01,8.70148303478952
1.02,8.46427544720293
1.03,8.23306672037767
1.04,8.01177827029373
1.05,7.80552310959146
1.06,7.61621926022052
1.07,7.44677012980132
1.08,7.2994233106647
1.09,7.1767809332937
1.1,7.07964604591903
1.11,7.00662829066694
1.12,6.95960873472997
1.13,6.93470075863155
1.14,6.93202850365399
1.15,6.94711069021596
1.16,6.97857889874981
1.17,7.02232501182553
1.18,7.07491666542633
1.19,7.13256031319511
1.2,7.19086241443806
1.21,7.24481470699403
1.22,7.28850706632872
1.23,7.31533656733519
1.24,7.31806980558402
1.25,7.28942547326149
