Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
-180,-26.85445701,-49.49729223
-179,-26.83000977,-49.30786875
-178,-26.84076245,-49.15612425
-177,-26.88674494,-49.03915184
-176,-26.96820716,-48.95421147
-175,-27.08562651,-48.8986558
-174,-27.23972195,-48.86986188
-173,-27.43147547,-48.86516748
-172,-27.66216223,-48.88181139
-171,-27.93339084,-48.91687855
-170,-28.24715646,-48.96725167
-169,-28.60590953,-49.02957291
-168,-29.01264471,-49.10022031
-167,-29.47101526,-49.17530532
-166,-29.98547985,-49.25069877
-165,-30.5614898,-49.32209234
-164,-31.20572444,-49.38510092
-163,-31.92637704,-49.43540695
-162,-32.73347545,-49.4689416
-161,-33.63916471,-49.48208899
-160,-34.65772003,-49.47189163
-159,-35.80461363,-49.43622982
-158,-37.09272462,-49.3739471
-157,-38.52044415,-49.28490063
-156,-40.03858092,-49.16992718
-155,-41.47433803,-49.03073047
-154,-42.4398571,-48.8697086
-153,-42.48119993,-48.68974822
-152,-41.587846,-48.49401356
-151,-40.20678736,-48.28575349
-150,-38.73205345,-48.06814244
-149,-37.34146493,-47.84416207
-148,-36.08589595,-47.61652369
-147,-34.96692611,-47.38762669
-146,-33.97099264,-47.15954565
-145,-33.08171604,-46.93403855
-144,-32.28384562,-46.71256889
-143,-31.56424542,-46.49633596
-142,-30.91189735,-46.28630887
-141,-30.31762177,-46.08326112
-140,-29.77375586,-45.88780378
-139,-29.27386529,-45.700416
-138,-28.81250614,-45.52147219
-137,-28.38503488,-45.35126579
-136,-27.9874587,-45.19002945
-135,-27.61631791,-45.03795212
-134,-27.26859349,-44.89519295
-133,-26.9416341,-44.76189276
-132,-26.63309804,-44.63818305
-131,-26.34090679,-44.52419304
-130,-26.06320758,-44.42005508
-129,-25.7983429,-44.32590864
-128,-25.54482547,-44.24190312
-127,-25.30131749,-44.16819981
-126,-25.06661329,-44.10497311
-125,-24.83962464,-44.05241128
-124,-24.61936824,-44.01071677
-123,-24.40495492,-43.98010641
-122,-24.19558027,-43.96081147
-121,-23.99051647,-43.95307771
-120,-23.78910506,-43.95716559
-119,-23.5907506,-43.97335065
-118,-23.39491496,-44.00192409
-117,-23.20111236,-44.04319372
-116,-23.0089048,-44.09748523
-115,-22.81789808,-44.16514397
-114,-22.62773817,-44.24653704
-113,-22.43810799,-44.34205613
-112,-22.24872445,-44.45212073
-111,-22.0593358,-44.5771822
-110,-21.86971915,-44.71772845
-109,-21.6796783,-44.87428955
-108,-21.48904155,-45.04744431
-107,-21.29765978,-45.23782791
-106,-21.10540455,-45.44614083
-105,-20.9121663,-45.67315931
-104,-20.71785261,-45.91974741
-103,-20.52238648,-46.18687112
-102,-20.3257047,-46.47561461
-101,-20.12775617,-46.78719912
-100,-19.92850035,-47.12300459
-99,-19.72790563,-47.48459426
-98,-19.52594788,-47.8737423
-97,-19.3226089,-48.29246382
-96,-19.11787502,-48.74304587
-95,-18.91173573,-49.22807634
-94,-18.70418241,-49.75046408
-93,-18.49520705,-50.31343747
-92,-18.28480121,-50.92049681
-91,-18.07295494,-51.57527348
-90,-17.85965588,-52.28120702
-89,-17.64488846,-53.04087315
-88,-17.42863323,-53.85465413
-87,-17.21086633,-54.71820521
-86,-16.99155904,-55.61784503
-85,-16.77067757,-56.52283909
-84,-16.54818294,-57.3746489
-83,-16.324031,-58.07830504
-82,-16.09817273,-58.51175023
-81,-15.87055457,-58.57151475
-80,-15.641119,-58.23597491
-79,-15.40980535,-57.58105784
-78,-15.17655067,-56.72871822
-77,-14.94129087,-55.78806451
-76,-14.70396204,-54.83219188
-75,-14.46450184,-53.90193434
-74,-14.22285116,-53.01687366
-73,-13.97895582,-52.18448717
-72,-13.7327684,-51.40593715
-71,-13.48425014,-50.67934282
-70,-13.2333729,-50.001527
-69,-12.98012106,-49.36891314
-68,-12.72449341,-48.77796696
-67,-12.4665049,-48.22539879
-66,-12.20618831,-47.70824231
-65,-11.94359562,-47.22387088
-64,-11.67879924,-46.76998387
-63,-11.41189291,-46.34457976
-62,-11.14299227,-45.94592478
-61,-10.87223514,-45.57252139
-60,-10.59978143,-45.22307878
-59,-10.32581267,-44.89648596
-58,-10.05053125,-44.59178797
-57,-9.774159304,-44.3081648
-56,-9.496937256,-44.04491301
-55,-9.219122183,-43.8014296
-54,-8.940985893,-43.5771979
-53,-8.662812854,-43.37177517
-52,-8.384898002,-43.18478166
-51,-8.107544467,-43.01589089
-50,-7.831061281,-42.86482089
-49,-7.555761114,-42.73132625
-48,-7.281958069,-42.61519088
-47,-7.009965585,-42.51622107
-46,-6.740094468,-42.43423903
-45,-6.472651089,-42.36907653
-44,-6.207935752,-42.3205686
-43,-5.946241247,-42.28854714
-42,-5.687851611,-42.27283434
-41,-5.433041066,-42.2732358
-40,-5.182073166,-42.28953322
-39,-4.935200116,-42.32147662
-38,-4.692662273,-42.36877589
-37,-4.454687807,-42.43109192
-36,-4.221492512,-42.50802692
-35,-3.993279746,-42.59911439
-34,-3.770240499,-42.70380863
-33,-3.552553551,-42.8214742
-32,-3.340385734,-42.9513757
-31,-3.133892253,-43.09266854
-30,-2.933217076,-43.24439142
-29,-2.738493372,-43.4054617
-28,-2.54984398,-43.57467486
-27,-2.367381909,-43.75070972
-26,-2.191210852,-43.93214086
-25,-2.021425707,-44.11746011
-24,-1.858113102,-44.30510834
-23,-1.70135191,-44.49351853
-22,-1.551213759,-44.6811701
-21,-1.407763521,-44.86665326
-20,-1.271059785,-45.04874092
-19,-1.141155308,-45.22646401
-18,-1.018097441,-45.39918493
-17,-0.901928528,-45.56666347
