Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
0,-0.04,-27.35
0.1,-0.01,-27.28
0.2,-0.01,-27.29
0.3,-0.01,-27.29
0.4,-0.01,-27.29
0.5,-0.01,-27.29
0.6,-0.01,-27.29
0.7,-0.01,-27.3
0.8,-0.02,-27.3
0.9,-0.02,-27.3
1,-0.02,-27.3
1.1,-0.02,-27.3
1.2,-0.02,-27.3
1.3,-0.02,-27.3
1.4,-0.02,-27.3
1.5,-0.02,-27.3
1.6,-0.02,-27.3
1.7,-0.02,-27.32
1.8,-0.02,-27.32
1.9,-0.02,-27.32
2,-0.02,-27.32
2.1,-0.02,-27.32
2.2,-0.02,-27.32
2.3,-0.02,-27.32
2.4,-0.02,-27.32
2.5,-0.02,-27.32
2.6,-0.02,-27.46
2.7,-0.02,-27.46
2.8,-0.02,-27.46
2.9,-0.31,-27.46
3,-0.31,-27.46
3.1,-0.31,-27.46
3.2,-0.31,-27.46
3.3,-0.31,-27.46
3.4,-0.31,-27.46
3.5,-0.31,-27.46
3.6,-0.31,-27.65
3.7,-0.31,-27.65
3.8,-0.34,-27.65
3.9,-0.34,-27.65
4,-0.34,-27.65
4.1,-0.34,-27.65
4.2,-0.34,-27.65
4.3,-0.34,-27.65
4.4,-0.34,-27.65
4.5,-0.34,-27.65
4.6,-0.34,-27.71
4.7,-0.34,-27.71
4.8,-0.54,-27.71
4.9,-0.54,-27.71
5,-0.54,-27.71
5.1,-0.54,-27.71
5.2,-0.54,-27.71
5.3,-0.54,-27.71
5.4,-0.54,-27.71
5.5,-0.54,-27.71
5.6,-0.54,-27.86
5.7,-0.54,-27.86
5.8,-0.54,-27.86
5.9,-0.54,-27.86
6,-0.54,-27.86
6.1,-0.54,-27.86
6.2,-0.54,-27.86
6.3,-0.54,-27.86
6.4,-0.54,-27.9
6.5,-0.54,-27.9
6.6,-0.54,-27.9
6.7,-0.54,-27.9
6.8,-0.54,-27.9
6.9,-0.54,-27.9
7,-0.54,-27.9
7.1,-0.54,-27.9
7.2,-0.54,-27.9
7.3,-0.76,-27.95
7.4,-0.76,-27.95
7.5,-0.76,-27.95
7.6,-0.76,-28.12
7.7,-0.76,-28.12
7.8,-0.76,-28.12
7.9,-0.93,-28.12
8,-0.93,-28.12
8.1,-0.93,-28.12
8.2,-0.93,-28.12
8.3,-0.93,-28.12
8.4,-0.93,-28.12
8.5,-0.93,-28.12
8.6,-0.93,-28.12
8.7,-0.93,-28.12
8.8,-0.93,-28.12
8.9,-0.93,-28.12
9,-1.06,-28.12
9.1,-1.06,-28.12
9.2,-1.06,-28.12
9.3,-1.06,-28.12
9.4,-1.06,-28.12
9.5,-1.06,-28.12
9.6,-1.06,-28.35
9.7,-1.06,-28.35
9.8,-1.06,-28.35
9.9,-1.06,-28.35
10,-1.06,-28.35
10.1,-1.06,-28.35
10.2,-1.06,-28.35
10.3,-1.06,-28.35
10.4,-1.06,-28.35
10.5,-1.06,-28.35
10.6,-1.06,-28.38
10.7,-1.06,-28.38
10.8,-1.06,-28.38
10.9,-1.06,-28.38
11,-1.06,-28.38
11.1,-1.06,-28.38
11.2,-1.06,-28.38
11.3,-1.06,-28.38
11.4,-1.06,-28.38
11.5,-1.06,-28.56
11.6,-1.06,-28.56
11.7,-1.06,-28.56
11.8,-1.35,-28.56
11.9,-1.35,-28.56
12,-1.35,-28.56
12.1,-1.35,-28.56
12.2,-1.35,-28.56
12.3,-1.35,-28.56
12.4,-1.68,-28.56
12.5,-1.68,-28.74
12.6,-1.68,-28.74
12.7,-1.68,-28.74
12.8,-1.68,-28.74
12.9,-1.68,-28.74
13,-1.68,-28.74
13.1,-1.68,-28.74
13.2,-1.68,-28.74
13.3,-1.68,-28.74
13.4,-1.68,-28.74
13.5,-1.68,-28.74
13.6,-1.68,-28.74
13.7,-1.74,-28.74
13.8,-1.74,-28.74
13.9,-1.74,-28.87
14,-1.74,-28.87
14.1,-1.74,-28.87
14.2,-1.74,-28.87
14.3,-1.74,-28.87
14.4,-1.74,-28.87
14.5,-1.74,-28.87
14.6,-1.74,-28.87
14.7,-1.74,-28.87
14.8,-1.74,-29.15
14.9,-1.74,-29.15
15,-1.74,-29.15
15.1,-1.74,-29.15
15.2,-1.74,-29.15
15.3,-1.74,-29.15
15.4,-1.74,-29.15
15.5,-1.74,-29.15
15.6,-1.74,-29.47
15.7,-1.74,-29.47
15.8,-2.23,-29.47
15.9,-2.23,-29.47
16,-2.23,-29.47
16.1,-2.23,-29.47
16.2,-2.23,-29.47
16.3,-2.23,-29.47
16.4,-2.23,-29.47
16.5,-2.23,-29.82
16.6,-2.23,-29.82
16.7,-2.23,-29.82
16.8,-2.48,-29.82
16.9,-2.48,-29.82
17,-2.48,-29.82
17.1,-2.48,-29.82
17.2,-2.48,-29.82
17.3,-2.48,-29.82
17.4,-2.48,-29.82
17.5,-2.48,-29.82
17.6,-2.48,-29.82
17.7,-2.48,-29.82
17.8,-2.9,-29.82
17.9,-2.9,-29.82
18,-2.9,-30.04
18.1,-2.9,-30.04
18.2,-2.9,-30.04
18.3,-2.9,-30.04
18.4,-2.9,-30.04
18.5,-2.9,-30.04
18.6,-2.9,-30.04
18.7,-2.9,-30.04
18.8,-2.9,-30.04
18.9,-3.11,-30.07
19,-3.11,-30.07
19.1,-3.11,-30.07
19.2,-3.11,-30.07
19.3,-3.11,-30.07
19.4,-3.11,-30.07
19.5,-3.11,-30.07
19.6,-3.11,-30.07
19.7,-3.11,-30.07
19.8,-3.11,-30.35
19.9,-3.11,-30.35
20,-3.37,-30.35
20.1,-3.37,-30.35
20.2,-3.37,-30.35
20.3,-3.37,-30.35
20.4,-3.37,-30.35
20.5,-3.37,-30.35
20.6,-3.37,-30.56
20.7,-3.37,-30.56
20.8,-3.37,-30.56
20.9,-3.37,-30.56
21,-3.37,-30.56
21.1,-3.37,-30.56
21.2,-3.37,-30.56
21.3,-3.37,-30.56
21.4,-3.37,-30.56
21.5,-3.59,-30.56
21.6,-3.59,-30.56
21.7,-3.59,-30.89
21.8,-3.59,-30.89
21.9,-3.59,-30.89
22,-3.59,-30.89
22.1,-3.59,-30.89
22.2,-3.59,-30.89
22.3,-3.59,-30.89
22.4,-3.59,-30.89
22.5,-3.59,-30.89
22.6,-3.59,-30.89
22.7,-3.59,-31.17
22.8,-3.59,-31.17
22.9,-3.59,-31.17
23,-3.59,-31.17
23.1,-3.59,-31.17
23.2,-3.59,-31.17
23.3,-3.59,-31.17
23.4,-3.59,-31.17
23.5,-3.59,-31.35
23.6,-3.59,-31.35
23.7,-3.59,-31.35
23.8,-4.13,-31.35
23.9,-4.13,-31.35
24,-4.13,-31.35
24.1,-4.13,-31.35
24.2,-4.13,-31.35
24.3,-4.13,-31.35
24.4,-4.13,-31.49
24.5,-4.39,-31.49
24.6,-4.39,-31.49
24.7,-4.39,-31.93
24.8,-4.39,-31.93
24.9,-4.39,-31.93
25,-4.39,-31.93
25.1,-4.39,-31.93
25.2,-4.39,-31.93
25.3,-4.39,-31.93
25.4,-4.39,-31.93
25.5,-4.39,-31.93
25.6,-4.39,-31.93
25.7,-4.39,-31.93
25.8,-4.65,-31.93
25.9,-4.65,-31.93
26,-4.65,-31.93
26.1,-4.65,-31.93
26.2,-4.65,-31.93
26.3,-4.65,-31.93
26.4,-4.65,-31.93
26.5,-4.65,-31.93
26.6,-4.65,-31.93
26.7,-4.65,-32.34
26.8,-4.65,-32.34
26.9,-5.18,-32.34
27,-5.18,-32.34
27.1,-5.18,-32.34
27.2,-5.18,-32.34
27.3,-5.18,-32.34
27.4,-5.18,-32.34
27.5,-5.18,-32.34
27.6,-5.18,-32.34
27.7,-5.18,-32.51
27.8,-5.18,-32.51
27.9,-5.42,-32.51
28,-5.42,-32.51
28.1,-5.42,-32.51
28.2,-5.42,-32.51
28.3,-5.42,-32.51
28.4,-5.42,-32.78
28.5,-5.42,-32.78
28.6,-5.42,-32.78
28.7,-5.42,-32.78
28.8,-5.42,-32.78
28.9,-5.42,-32.78
29,-5.74,-32.78
29.1,-5.74,-32.78
29.2,-5.74,-33.03
29.3,-5.74,-33.03
29.4,-5.74,-33.03
29.5,-5.74,-33.03
29.6,-5.74,-33.03
29.7,-5.74,-33.03
29.8,-5.74,-33.03
29.9,-5.74,-33.03
30,-5.74,-33.03
30.1,-5.74,-33.3
30.2,-5.74,-33.3
30.3,-5.74,-33.3
30.4,-5.74,-33.3
30.5,-5.74,-33.3
30.6,-5.74,-33.3
30.7,-5.74,-33.3
30.8,-5.74,-33.3
30.9,-5.74,-33.3
31,-5.74,-33.62
31.1,-5.74,-33.62
31.2,-5.74,-33.62
31.3,-5.74,-33.62
31.4,-5.74,-33.62
31.5,-6.34,-33.62
31.6,-6.34,-33.62
31.7,-6.34,-33.62
31.8,-6.34,-33.62
31.9,-6.34,-33.85
32,-6.34,-33.85
32.1,-6.34,-33.85
32.2,-6.34,-33.85
32.3,-6.57,-33.85
32.4,-6.57,-33.85
32.5,-6.57,-33.85
32.6,-6.57,-33.85
32.7,-6.57,-33.85
32.8,-6.57,-34.28
32.9,-6.57,-34.28
33,-6.57,-34.28
33.1,-6.57,-34.28
33.2,-6.57,-34.28
33.3,-6.57,-34.28
33.4,-6.57,-34.71
