Freq [GHz],"dB(S(1,1))"
0.5,-6.6199968
0.502004008,-6.5021622
0.504008016,-6.6129162
0.506012024,-6.8672326
0.508016032,-7.1653049
0.51002004,-7.4990337
0.512024048,-7.8834469
0.514028056,-8.1810977
0.516032064,-8.1806009
0.518036072,-7.9691336
0.52004008,-7.7028067
0.522044088,-7.64662
0.524048096,-7.740237
0.526052104,-7.8186414
0.528056112,-7.7814171
0.53006012,-7.5146005
0.532064128,-7.3188064
0.534068136,-7.3265898
0.536072144,-7.4397323
0.538076152,-7.8776305
0.54008016,-8.3379443
0.542084168,-8.6860001
0.544088176,-9.2998965
0.546092184,-10.1943571
0.548096192,-10.306651
0.5501002,-9.9104311
0.552104208,-9.7762749
0.554108216,-9.8026068
0.556112224,-9.6630938
0.558116232,-9.62412
0.56012024,-9.7727969
0.562124248,-9.7937195
0.564128257,-9.6832144
0.566132265,-9.5437548
0.568136273,-9.6678774
0.570140281,-10.0990965
0.572144289,-10.792855
0.574148297,-11.437864
0.576152305,-11.674426
0.578156313,-11.516505
0.580160321,-11.146219
0.582164329,-10.729197
0.584168337,-10.348566
0.586172345,-10.0215542
0.588176353,-9.8139574
0.590180361,-9.8615725
0.592184369,-10.2013533
0.594188377,-10.295123
0.596192385,-10.334447
0.598196393,-10.498902
0.600200401,-10.679768
0.602204409,-10.849014
0.604208417,-11.083029
0.606212425,-11.69351
0.608216433,-12.471599
0.610220441,-12.934714
0.612224449,-12.942106
0.614228457,-12.903791
0.616232465,-12.878878
0.618236473,-13.060144
0.620240481,-13.196995
0.622244489,-13.556389
0.624248497,-14.546176
0.626252505,-15.92854
0.628256513,-16.751099
0.630260521,-16.487066
0.632264529,-16.112604
0.634268537,-16.480932
0.636272545,-16.979742
0.638276553,-17.121342
0.640280561,-16.490891
0.642284569,-15.804929
0.644288577,-15.391483
0.646292585,-14.891855
0.648296593,-14.688213
0.650300601,-15.116534
0.652304609,-16.410069
0.654308617,-17.204041
0.656312625,-16.485325
0.658316633,-15.439265
0.660320641,-14.817379
0.662324649,-14.778687
0.664328657,-15.470012
0.666332665,-16.061
0.668336673,-15.377987
0.670340681,-14.493997
0.672344689,-14.284618
0.674348697,-15.194135
0.676352705,-16.827294
0.678356713,-18.494877
0.680360721,-19.469563
0.682364729,-20.219786
0.684368737,-22.874691
0.686372745,-26.894213
0.688376754,-31.665844
0.690380762,-45.47204
0.69238477,-34.34183
0.694388778,-27.394686
0.696392786,-23.7598
0.698396794,-22.831602
0.700400802,-22.6281
0.70240481,-20.296046
0.704408818,-18.335642
0.706412826,-17.250359
0.708416834,-16.381645
0.710420842,-15.736134
0.71242485,-15.574476
0.714428858,-16.006539
0.716432866,-16.773749
0.718436874,-17.910591
0.720440882,-19.460755
0.72244489,-20.987473
0.724448898,-22.477959
0.726452906,-23.413494
0.728456914,-23.297228
0.730460922,-22.474894
0.73246493,-21.436033
0.734468938,-20.385876
0.736472946,-19.240374
0.738476954,-18.164982
0.740480962,-17.441345
0.74248497,-16.951529
0.744488978,-16.642178
0.746492986,-16.501522
0.748496994,-16.519472
0.750501002,-16.840971
0.75250501,-17.270796
0.754509018,-17.4763
0.756513026,-17.438277
0.758517034,-17.273218
0.760521042,-16.695343
0.76252505,-15.910419
0.764529058,-15.329784
0.766533066,-14.905982
0.768537074,-14.862972
0.770541082,-15.195126
0.77254509,-15.664977
0.774549098,-16.424889
0.776553106,-17.470362
0.778557114,-18.816
0.780561122,-20.846665
0.78256513,-23.578545
0.784569138,-28.090798
0.786573146,-36.811198
0.788577154,-35.077418
0.790581162,-27.776924
0.79258517,-23.068787
0.794589178,-20.617142
0.796593186,-19.385483
0.798597194,-18.503294
0.800601202,-17.301064
0.80260521,-16.209015
0.804609218,-15.354395
0.806613226,-14.689481
0.808617234,-14.315432
0.810621242,-14.148895
0.812625251,-14.054241
0.814629259,-14.168112
0.816633267,-14.603386
0.818637275,-15.065581
0.820641283,-15.603755
0.822645291,-16.152383
0.824649299,-16.453884
0.826653307,-16.683892
0.828657315,-17.229754
0.830661323,-17.82032
0.832665331,-18.507357
0.834669339,-19.038227
0.836673347,-19.159186
0.838677355,-19.158642
0.840681363,-19.517199
0.842685371,-20.569355
0.844689379,-22.729006
0.846693387,-26.420277
0.848697395,-32.983996
0.850701403,-39.679095
0.852705411,-31.849379
0.854709419,-26.373564
0.856713427,-22.750395
0.858717435,-20.466151
0.860721443,-18.929781
0.862725451,-17.58981
0.864729459,-16.530325
0.866733467,-15.809887
0.868737475,-15.397989
0.870741483,-15.179032
0.872745491,-15.150107
0.874749499,-15.166193
0.876753507,-15.280923
0.878757515,-15.409833
0.880761523,-15.768101
0.882765531,-16.728312
0.884769539,-18.068739
0.886773547,-20.162134
0.888777555,-22.545811
0.890781563,-24.287167
0.892785571,-25.095692
0.894789579,-25.063286
0.896793587,-25.014157
0.898797595,-24.694802
0.900801603,-24.070639
0.902805611,-23.374823
0.904809619,-23.109326
0.906813627,-23.085264
0.908817635,-22.929602
0.910821643,-23.227333
0.912825651,-23.79002
0.914829659,-24.649115
0.916833667,-24.567227
0.918837675,-24.998707
0.920841683,-24.365383
0.922845691,-23.419831
0.924849699,-23.128844
0.926853707,-22.453882
0.928857715,-21.402882
0.930861723,-21.843289
0.932865731,-21.093619
0.934869739,-21.805134
0.936873747,-21.969498
0.938877756,-22.051729
0.940881764,-21.853363
0.942885772,-22.4653
0.94488978,-23.810154
0.946893788,-25.408482
0.948897796,-26.833138
0.950901804,-27.365731
0.952905812,-26.783146
0.95490982,-26.50605
0.956913828,-25.600235
0.958917836,-24.565224
0.960921844,-23.455614
0.962925852,-22.287016
0.96492986,-21.317585
0.966933868,-20.939404
0.968937876,-20.67091
0.970941884,-20.37492
0.972945892,-20.260475
0.9749499,-20.395329
0.976953908,-20.904177
0.978957916,-21.713598
0.980961924,-22.790482
0.982965932,-23.610869
0.98496994,-24.478876
0.986973948,-25.160885
0.988977956,-26.122874
0.990981964,-27.857538
0.992985972,-30.204977
0.99498998,-32.59371
0.996993988,-34.897551
0.998997996,-34.709925
1.001002004,-32.036926
1.003006012,-29.7204
1.00501002,-28.118382
1.007014028,-27.752218
1.009018036,-27.671894
1.011022044,-26.924069
1.013026052,-25.736262
1.01503006,-25.046416
1.017034068,-24.82836
1.019038076,-24.737713
1.021042084,-23.910509
1.023046092,-22.849077
1.0250501,-21.883736
1.027054108,-21.118693
