"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
0.4,-2.03209595602377
0.401,-2.06270273142293
0.402,-2.09364452774938
0.403,-2.12491655762457
0.404,-2.1565138275371
0.405,-2.18843114309691
0.406,-2.22066311477347
0.407,-2.25320416411106
0.408,-2.2860485304121
0.409,-2.31919027787836
0.41,-2.35262330319716
0.411,-2.38634134355892
0.412,-2.42033798508991
0.413,-2.45460667168285
0.414,-2.48914071420623
0.415,-2.52393330007158
0.416,-2.55897750313674
0.417,-2.59426629392138
0.418,-2.6297925501102
0.419,-2.66554906731749
0.42,-2.70152857008611
0.421,-2.73772372309291
0.422,-2.77412714253117
0.423,-2.81073140764102
0.424,-2.84752907235693
0.425,-2.88451267704196
0.426,-2.92167476027743
0.427,-2.95900787067677
0.428,-2.99650457869234
0.429,-3.03415748838363
0.43,-3.07195924911638
0.431,-3.10990256716121
0.432,-3.14798021716232
0.433,-3.18618505344617
0.434,-3.22451002114156
0.435,-3.26294816708333
0.436,-3.30149265047241
0.437,-3.34013675326688
0.438,-3.37887389027883
0.439,-3.41769761895434
0.44,-3.45660164881403
0.441,-3.49557985053452
0.442,-3.53462626465081
0.443,-3.57373510986325
0.444,-3.61290079093303
0.445,-3.65211790615193
0.446,-3.69138125437427
0.447,-3.73068584160113
0.448,-3.77002688710658
0.449,-3.80939982910067
0.45,-3.84880032992223
0.451,-3.88822428075913
0.452,-3.92766780589382
0.453,-3.96712726647326
0.454,-4.00659926380605
0.455,-4.04608064218831
0.456,-4.08556849126399
0.457,-4.12506014792503
0.458,-4.16455319775902
0.459,-4.20404547605299
0.46,-4.24353506836363
0.461,-4.28302031066429
0.462,-4.32249978908208
0.463,-4.36197233923774
0.464,-4.40143704520201
0.465,-4.44089323808473
0.466,-4.48034049427091
0.467,-4.51977863332089
0.468,-4.55920771555193
0.469,-4.59862803931731
0.47,-4.63804013800183
0.471,-4.67744477675143
0.472,-4.71684294895441
0.473,-4.75623587249372
0.474,-4.795624985788
0.475,-4.83501194364013
0.476,-4.87439861291087
0.477,-4.91378706803637
0.478,-4.95317958640785
0.479,-4.99257864362912
0.48,-5.03198690867168
0.481,-5.07140723894254
0.482,-5.11084267528159
0.483,-5.15029643690507
0.484,-5.18977191630968
0.485,-5.22927267415303
0.486,-5.26880243412441
0.487,-5.30836507781928
0.488,-5.34796463963201
0.489,-5.38760530167715
0.49,-5.42729138875364
0.491,-5.46702736336123
0.492,-5.50681782078067
0.493,-5.54666748422751
0.494,-5.58658120008911
0.495,-5.62656393325244
0.496,-5.66662076253232
0.497,-5.70675687620655
0.498,-5.74697756766422
0.499,-5.78728823117587
0.5,-5.82769435778745
0.501,-5.86820153134694
0.502,-5.90881542466538
0.503,-5.9495417958185
0.504,-5.99038648459043
0.505,-6.03135540906444
0.506,-6.07245456236255
0.507,-6.11369000953569
0.508,-6.15506788460734
0.509,-6.19659438777156
0.51,-6.23827578274584
0.511,-6.28011839428082
0.512,-6.32212860582629
0.513,-6.36431285735384
0.514,-6.40667764333678
0.515,-6.44922951088566
0.516,-6.4919750580399
0.517,-6.53492093221496
0.518,-6.57807382880262
0.519,-6.62144048992524
0.52,-6.66502770334165
0.521,-6.70884230150337
0.522,-6.75289116076065
0.523,-6.79718120071546
0.524,-6.84171938372161
0.525,-6.88651271452916
0.526,-6.93156824007188
0.527,-6.97689304939658
0.528,-7.02249427373279
0.529,-7.06837908670013
0.53,-7.11455470465367
0.531,-7.16102838716437
0.532,-7.20780743763382
0.533,-7.25489920404267
0.534,-7.30231107982984
0.535,-7.35005050490328
0.536,-7.39812496678013
0.537,-7.44654200185559
0.538,-7.49530919680086
0.539,-7.54443419008741
0.54,-7.59392467363967
0.541,-7.64378839461381
0.542,-7.6940331573035
0.543,-7.74466682517313
0.544,-7.79569732301799
